word,meaning
検査,けんさ<br>kiểm tra
血液,けつえき<br>máu
治療,ちりょう<br>trị liệu
症状,しょうじょう<br>triệu chứng
予防,よぼう<br>dự phòng
栄養,えいよう<br>dinh dưỡng
手術,しゅじゅつ<br>phẫu thuật
死亡,しぼう<br>tử vong
命,いのち<br>sinh mạng
一生,いっしょう<br>suốt đời
誤解,ごかい<br>hiểu nhầm
後悔,こうかい<br>hối hận
訳,わけ<br>lý do
態度,たいど<br>thái độ
癖,くせ<br>thói quen
礼儀,れいぎ<br>lễ nghĩa
文句,もんく<br>phàn nàn
表情,"ひょうじょう<br>biểu lộ, biểu thị"
表面,ひょうめん<br>bề mặt
禁煙,きんえん<br>cấm hút thuốc
禁止,きんし<br>cấm
完成,かんせい<br>hoàn thành
課題,かだい<br>chủ đề
例外,れいがい<br>ngoại lệ
基本,きほん<br>cơ bản
記録,きろく<br>ghi âm
状態,じょうたい<br>trạng thái
出来事,できごと<br>sự kiện
場面,"ばめん<br>khung cảnh, tình huống, hiện trường"
機会,きかい<br>cơ hội
距離,きょり<br>khoảng cách
提案,ていあん<br>đề xuất
やり取り,"やりとり<br>trao đổi, làm việc"
知識,ちしき<br>kiến thức
実力,じつりょく<br>thực lực
手段,しゅだん<br>cách thức
代表,だいひょう<br>đại biểu
影響,えいきょう<br>ảnh hưởng
効果,こうか<br>hiệu quả
印象,いんしょう<br>ấn tượng
印,"しるし<br>dấu, dấu hiệu"
合図,あいず<br>ám hiệu
共通,きょうつう<br>chung
強調,きょうちょう<br>nhấn mạnh
省略,しょうりゃく<br>lược bớt
挑戦,ちょうせん<br>thử thách
やる気,やるき<br>động lực
勇気,"ゆうき<br>dũng cảm, dũng khí"
資格,"しかく<br>bằng cấp, tư cách"
申請,"しんせい<br>đăng ký, ứng tuyển"
本人,ほんにん<br>người được nói đến
契約,けいやく<br>hợp đồng
証明,"しょうめい<br>chứng minh, bằng chứng"
変更,へんこう<br>thay đổi
保存,ほぞん<br>bảo tồn
保護,"ほご<br>bảo vệ, bảo hộ"
環境,かんきょう<br>môi trường
資源,しげん<br>tài nguyên
不足,ふそく<br>thiếu
平均,へいきん<br>trung bình
割合,わりあい<br>tỷ lệ
商売,"しょうばい<br>kinh doanh, buôn bán"
商品,しょうひん<br>sản phẩm
質,しつ<br>chất lượng
型,かた<br>mẫu
生産,せいさん<br>sản xuất
消費,"しょうひ<br>tiêu dùng, tiêu thụ"
物価,"ぶっか<br>giá cả, vật giá"
倒産,とうさん<br>phá sản
携帯,"けいたい<br>mang theo, di động"
現代,げんだい<br>hiện tại
世紀,せいき<br>thế kỷ
文化,ぶんか<br>văn hóa
都市,とし<br>thành phố
地方,ちほう<br>địa phương
戦争,せんそう<br>chiến tranh
平和,へいわ<br>hòa bình
上る,のぼる<br>leo lên
下る,くだる<br>đi xuống
進む,すすむ<br>tiến lên
進める,すすめる<br>làm cho tiến lên
通る,"とおる<br>thông qua, được chấp nhận, đi qua"
通す,"とおす<br>xuyên qua, thông qua"
超える・越える,こえる<br>vượt qua
過ぎる,"すぎる<br>quá, đi qua"
過ごす,すごす<br>sử dụng(thời gian)
移る,"うつる<br>được chuyển, lây nhiễm"
移す,うつす<br>chuyển
連れる,つれる<br>dẫn đi
寄る,"よる<br>ghé sát, lại gần"
寄せる,よせる<br>ghé vào
与える,"あたえる<br>trao, cung cấp"
得る,"える<br>đạt được, có được"
向く,"むく<br>hướng, đối diện"
向ける,"むける<br>hướng đến, quay"
勧める,"すすめる<br>rủ, mời, gợi ý"
薦める,"すすめる<br>giới thiệu, gợi ý"
任せる,"まかせる<br>tin tưởng, để cho ai đó làm gì"
守る,"まもる<br>giữ, tuân thủ, bảo vệ"
争う,"あらそう<br>gây gổ, tranh giành"
望む,のぞむ<br>ước
信じる,しんじる<br>tin tưởng
通じる,"つうじる<br>hiểu, thông qua"
飽きる,"あきる<br>chán, ngấy"
思いつく,おもいつく<br>nghĩ về
思いやる,"おもいやる<br>quan tâm, thông cảm"
熱中する,ねっちゅうする<br>nghiện
暮らす,くらす<br>sống
巻く,"まく<br>quấn, quàng"
結ぶ,"むすぶ<br>buộc, cột, nối"
済む,すむ<br>kết thúc
済ませる・済ます,すませる・済ます<br>hoàn tất
出来る,"できる<br>có thể, được xây dựng"
切れる,"きれる<br>cắt, hết hạn"
切らす,きらす<br>hết
伝わる,"つたわる<br>được truyền đi, được trải ra, được giới thiệu"
伝える,"つたえる<br>truyền đi, giới thiệu"
続く,"つづく<br>tiếp tục, xảy ra, lặp lại, theo sau"
続ける,"つづける<br>tiếp tục, xảy ra liên tiếp"
つながる,"つながる<br>được kết nối, được mở rộng, thông qua"
つなぐ,"つなぐ<br>kết nối, tham gia"
つなげる,"つなげる<br>kết nối, làm chặt thêm"
伸びる,"のびる<br>lớn lên, tăng thêm, dài ra"
伸ばす,"のばす<br>nuôi dài, căng ra"
